year,state_name,avg_temp_f,total_precip_inches,gdd_total,days_count
2017,COLORADO,70.8,16.6,1890,183
2018,COLORADO,65.4,16.36,1940,183
2019,COLORADO,67.4,33.83,2283,183
2020,COLORADO,66.5,26.89,1783,183
2021,COLORADO,67.5,26.67,2235,183
2022,COLORADO,66.9,20.22,2021,183
2023,COLORADO,66.4,22.92,2007,183
2024,COLORADO,67.7,33.58,1774,183
2010,CONNECTICUT,65.1,27.42,2276,183
2011,CONNECTICUT,71.0,16.47,1918,183
2012,CONNECTICUT,68.0,17.65,2057,183
2013,CONNECTICUT,70.3,32.59,2078,183
2014,CONNECTICUT,66.7,23.76,2256,183
2015,CONNECTICUT,69.2,27.23,2241,183
2016,CONNECTICUT,65.0,31.34,2006,183
2017,CONNECTICUT,70.6,17.07,1837,183
2018,CONNECTICUT,66.6,32.79,2266,183
2019,CONNECTICUT,65.9,20.64,1915,183
2020,CONNECTICUT,69.3,19.07,1970,183
2021,CONNECTICUT,68.0,20.02,1752,183
2022,CONNECTICUT,65.6,23.47,1983,183
2023,CONNECTICUT,65.3,21.67,1833,183
2024,CONNECTICUT,68.8,20.24,2152,183
2010,DELAWARE,68.3,23.55,1709,183
2011,DELAWARE,65.7,33.9,1852,183
2012,DELAWARE,68.3,31.69,2296,183
2013,DELAWARE,68.3,23.6,1742,183
2014,DELAWARE,66.8,32.98,1740,183
2015,DELAWARE,70.4,19.2,1955,183
2016,DELAWARE,69.0,22.07,2273,183
2017,DELAWARE,70.3,23.13,1858,183
2018,DELAWARE,70.6,19.73,1866,183
2019,DELAWARE,70.9,31.22,2122,183
2020,DELAWARE,65.1,29.73,2040,183
2021,DELAWARE,69.7,23.23,1954,183
2022,DELAWARE,66.6,30.75,1810,183
2023,DELAWARE,67.3,15.77,2181,183
2024,DELAWARE,66.3,31.33,2171,183
2010,FLORIDA,67.1,31.41,1933,183
2011,FLORIDA,66.3,28.2,2108,183
2012,FLORIDA,67.0,32.29,1985,183
2013,FLORIDA,67.1,25.19,2249,183
2014,FLORIDA,67.0,15.55,1967,183
2015,FLORIDA,66.1,34.25,1971,183
2016,FLORIDA,65.2,26.93,2053,183
2017,FLORIDA,69.4,21.27,2223,183
2018,FLORIDA,65.7,32.99,1894,183
2019,FLORIDA,66.5,29.18,1701,183
2020,FLORIDA,68.1,31.13,1901,183
2021,FLORIDA,67.2,16.4,2038,183
2022,FLORIDA,68.7,28.27,1827,183
2023,FLORIDA,69.3,21.01,2016,183
2024,FLORIDA,69.0,21.52,2002,183
2010,GEORGIA,68.3,18.84,2088,183
2011,GEORGIA,69.1,33.06,2282,183
2012,GEORGIA,66.8,25.96,1700,183
2013,GEORGIA,66.8,19.2,2293,183
2014,GEORGIA,68.6,21.44,2152,183
2015,GEORGIA,67.7,19.27,2184,183
2016,GEORGIA,69.8,34.2,1873,183
2017,GEORGIA,69.0,20.68,2043,183
2018,GEORGIA,65.6,34.04,1940,183
2019,GEORGIA,69.0,19.49,1903,183
2020,GEORGIA,65.9,15.92,2186,183
2021,GEORGIA,68.7,30.37,2166,183
2022,GEORGIA,67.5,27.6,1899,183
2023,GEORGIA,69.3,22.68,2109,183
2024,GEORGIA,66.5,28.12,1705,183
2010,HAWAII,70.4,32.21,1809,183
2011,HAWAII,69.7,19.38,2230,183
2012,HAWAII,67.8,26.15,1824,183
2013,HAWAII,67.7,31.03,2243,183
2014,HAWAII,70.9,26.91,2153,183
2015,HAWAII,68.7,29.39,2216,183
2016,HAWAII,67.6,33.14,2156,183
2017,HAWAII,70.4,29.87,2186,183
2018,HAWAII,67.7,30.04,1983,183
2019,HAWAII,69.6,25.43,1944,183
2020,HAWAII,66.6,16.55,1992,183
2021,HAWAII,66.4,21.72,2253,183
2022,HAWAII,65.5,18.02,2092,183
2023,HAWAII,69.2,29.13,1765,183
2024,HAWAII,67.5,21.62,2177,183
2010,IDAHO,67.5,19.14,2130,183
2011,IDAHO,67.3,30.4,1720,183
2012,IDAHO,70.1,30.31,2089,183
2013,IDAHO,67.9,33.85,2005,183
2014,IDAHO,69.5,32.07,2129,183
2015,IDAHO,68.2,29.69,1925,183
2016,IDAHO,67.9,20.46,2197,183
2017,IDAHO,65.2,21.72,2114,183
2018,IDAHO,69.3,31.81,1830,183
2019,IDAHO,70.9,25.68,2103,183
2020,IDAHO,68.6,28.26,1785,183
2021,IDAHO,68.9,17.71,2172,183
2022,IDAHO,66.1,20.2,2035,183
2023,IDAHO,66.3,21.54,2088,183
2024,IDAHO,66.7,34.02,2131,183
2010,ILLINOIS,66.5,16.64,1719,183
2011,ILLINOIS,69.5,16.04,2058,183
2012,ILLINOIS,66.3,16.37,1741,183
2013,ILLINOIS,69.5,33.99,1904,183
2014,ILLINOIS,70.0,27.43,1944,183
2015,ILLINOIS,65.8,28.39,2277,183
2016,ILLINOIS,70.7,24.3,1962,183
2017,ILLINOIS,69.6,18.36,1817,183
2018,ILLINOIS,69.7,18.28,2018,183
2019,ILLINOIS,65.6,15.51,2019,183
2020,ILLINOIS,68.5,33.16,2084,183
2021,ILLINOIS,67.4,29.3,1777,183
2022,ILLINOIS,68.6,31.61,1948,183
2023,ILLINOIS,65.6,30.45,1823,183
2024,ILLINOIS,69.8,26.32,1742,183
2010,INDIANA,67.1,23.57,2079,183
2011,INDIANA,65.4,27.95,1712,183
2012,INDIANA,70.1,31.45,1808,183
2013,INDIANA,67.6,22.24,2170,183
2014,INDIANA,69.2,23.71,2234,183
2015,INDIANA,70.8,20.4,2251,183
2016,INDIANA,69.6,24.3,1974,183
2017,INDIANA,66.9,19.91,1788,183
2018,INDIANA,66.7,24.02,2175,183
2019,INDIANA,68.4,28.36,2044,183
2020,INDIANA,65.2,32.02,1886,183
2021,INDIANA,67.9,22.1,1964,183
2022,INDIANA,67.0,32.61,1982,183
2023,INDIANA,68.3,25.33,1895,183
2024,INDIANA,65.5,29.4,2200,183
2010,IOWA,68.3,19.81,2187,183
2011,IOWA,68.9,24.82,1717,183
2012,IOWA,65.6,19.43,1949,183
2013,IOWA,66.8,26.63,2184,183
2014,IOWA,68.3,21.88,2263,183
2015,IOWA,67.0,29.06,1977,183
2016,IOWA,66.8,19.61,1897,183
2017,IOWA,66.9,29.86,1889,183
2018,IOWA,66.1,29.77,1983,183
2019,IOWA,69.3,34.53,2237,183
2020,IOWA,68.6,34.61,1898,183
2021,IOWA,66.8,22.22,2009,183
2022,IOWA,65.1,25.68,1980,183
2023,IOWA,65.3,16.09,1999,183
2024,IOWA,69.2,17.53,2202,183
2010,KANSAS,65.6,15.25,1991,183
2011,KANSAS,67.8,23.81,1888,183
2012,KANSAS,70.8,20.05,2189,183
2013,KANSAS,65.7,16.31,2203,183
2014,KANSAS,65.4,27.59,1754,183
2015,KANSAS,65.9,31.22,2011,183
2016,KANSAS,65.5,19.96,2271,183
2017,KANSAS,69.6,27.13,1931,183
2018,KANSAS,69.7,22.61,2153,183
2019,KANSAS,66.8,26.77,2139,183
2020,KANSAS,66.8,27.42,1801,183
2021,KANSAS,70.7,19.16,1916,183
2022,KANSAS,66.6,16.62,1945,183
2023,KANSAS,66.0,16.5,1702,183
2024,KANSAS,67.5,28.79,2181,183
2010,KENTUCKY,66.7,19.63,1989,183
2011,KENTUCKY,69.2,24.08,1939,183
2012,KENTUCKY,70.5,30.76,1902,183
2013,KENTUCKY,67.6,25.89,1852,183
2014,KENTUCKY,70.5,31.53,1773,183
2015,KENTUCKY,65.4,30.85,2282,183
2016,KENTUCKY,70.5,23.78,2179,183
2017,KENTUCKY,69.1,28.99,1978,183
2018,KENTUCKY,68.0,24.88,1782,183
2019,KENTUCKY,68.6,32.79,2030,183
2020,KENTUCKY,68.6,15.52,1934,183
2021,KENTUCKY,70.8,31.72,2289,183
2022,KENTUCKY,68.5,15.41,1975,183
2023,KENTUCKY,68.5,30.26,1879,183
2024,KENTUCKY,67.8,28.03,1984,183
2010,LOUISIANA,66.1,26.71,2203,183
2011,LOUISIANA,70.8,24.4,2118,183
2012,LOUISIANA,67.0,28.4,1864,183
2013,LOUISIANA,67.0,28.87,1995,183
2014,LOUISIANA,69.0,23.01,2263,183
2015,LOUISIANA,65.2,16.76,1958,183
2016,LOUISIANA,66.9,34.4,2113,183
2017,LOUISIANA,70.2,31.5,1701,183
2018,LOUISIANA,68.9,25.85,2123,183
2019,LOUISIANA,65.3,25.37,2210,183
2020,LOUISIANA,68.8,30.2,1908,183
2021,LOUISIANA,66.6,17.62,1994,183
2022,LOUISIANA,67.6,28.97,1824,183
2023,LOUISIANA,65.2,27.6,1945,183
2024,LOUISIANA,69.3,21.22,1714,183
2010,MAINE,68.3,16.86,1816,183
2011,MAINE,67.8,17.35,1857,183
2012,MAINE,68.0,29.33,2221,183
2013,MAINE,69.2,23.31,2194,183
2014,MAINE,70.9,19.87,2264,183
2015,MAINE,65.9,18.81,2220,183
2016,MAINE,69.5,17.73,1771,183
2017,MAINE,66.7,30.8,2124,183
2018,MAINE,67.0,30.75,1973,183
2019,MAINE,69.9,20.66,2005,183
2020,MAINE,70.0,26.6,2201,183
2021,MAINE,70.2,23.93,2195,183
2022,MAINE,67.1,26.04,2256,183
2023,MAINE,67.3,33.66,1893,183
2024,MAINE,70.9,19.78,2092,183
2010,MARYLAND,66.4,30.51,1744,183
2011,MARYLAND,66.9,24.46,2090,183
2012,MARYLAND,67.3,28.27,1855,183
2013,MARYLAND,68.0,15.74,2214,183
2014,MARYLAND,70.8,21.64,1802,183
2015,MARYLAND,70.2,23.81,2238,183
2016,MARYLAND,70.5,15.31,1847,183
2017,MARYLAND,67.5,28.1,1858,183
2018,MARYLAND,65.4,30.63,1971,183
2019,MARYLAND,67.0,28.85,1782,183
2020,MARYLAND,70.1,32.05,2246,183
2021,MARYLAND,67.3,21.33,2199,183
2022,MARYLAND,70.2,15.72,1770,183
2023,MARYLAND,66.4,28.69,1994,183
2024,MARYLAND,71.0,29.94,2144,183
2010,MASSACHUSETTS,70.9,30.21,1802,183
2011,MASSACHUSETTS,67.7,28.88,1729,183
2012,MASSACHUSETTS,65.3,30.92,2000,183
2013,MASSACHUSETTS,67.2,23.61,1950,183
2014,MASSACHUSETTS,68.2,26.32,1884,183
2015,MASSACHUSETTS,66.0,16.58,2091,183
2016,MASSACHUSETTS,68.7,19.82,2297,183
2017,MASSACHUSETTS,65.9,24.22,1960,183
2018,MASSACHUSETTS,67.8,28.34,2176,183
2019,MASSACHUSETTS,70.4,28.55,1861,183
2020,MASSACHUSETTS,65.4,33.9,2006,183
2021,MASSACHUSETTS,68.8,23.49,1956,183
2022,MASSACHUSETTS,67.7,21.04,2093,183
2023,MASSACHUSETTS,70.1,17.13,2090,183
2024,MASSACHUSETTS,68.4,26.5,2002,183
2010,MICHIGAN,65.1,31.6,2105,183
2011,MICHIGAN,66.6,26.32,1750,183
2012,MICHIGAN,70.5,29.9,1993,183
2013,MICHIGAN,69.7,19.6,2060,183
2014,MICHIGAN,66.3,18.8,1956,183
2015,MICHIGAN,69.1,29.42,1840,183
2016,MICHIGAN,68.8,33.07,1740,183
2017,MICHIGAN,66.9,23.82,2293,183
2018,MICHIGAN,67.2,17.63,2002,183
2019,MICHIGAN,67.0,23.31,1905,183
2020,MICHIGAN,65.8,25.79,2074,183
2021,MICHIGAN,68.2,33.27,1868,183
2022,MICHIGAN,66.5,31.49,2193,183
2023,MICHIGAN,70.8,20.9,2046,183
2024,MICHIGAN,69.8,24.37,1777,183
2010,MINNESOTA,65.8,34.33,2106,183
2011,MINNESOTA,70.8,31.09,2074,183
2012,MINNESOTA,65.5,22.89,1970,183
2013,MINNESOTA,68.2,24.1,1968,183
2014,MINNESOTA,68.5,31.45,2080,183
2015,MINNESOTA,65.7,19.68,1725,183
2016,MINNESOTA,68.7,33.86,2035,183
2017,MINNESOTA,70.5,19.43,1764,183
2018,MINNESOTA,68.8,24.29,2009,183
2019,MINNESOTA,68.9,17.33,1746,183
2020,MINNESOTA,70.7,21.09,2204,183
2021,MINNESOTA,65.7,19.7,2250,183
2022,MINNESOTA,65.8,24.07,2253,183
2023,MINNESOTA,67.5,29.85,1858,183
2024,MINNESOTA,70.3,28.1,2201,183
2010,MISSISSIPPI,68.7,33.78,1986,183
2011,MISSISSIPPI,65.2,22.41,2154,183
2012,MISSISSIPPI,67.7,19.72,2071,183
2013,MISSISSIPPI,65.6,28.71,2257,183
2014,MISSISSIPPI,70.4,27.9,1762,183
2015,MISSISSIPPI,67.4,18.8,1825,183
2016,MISSISSIPPI,70.7,31.48,1793,183
2017,MISSISSIPPI,69.0,27.83,1721,183
2018,MISSISSIPPI,65.3,21.67,1828,183
2019,MISSISSIPPI,69.7,19.1,2267,183
2020,MISSISSIPPI,66.2,19.32,1938,183
2021,MISSISSIPPI,67.0,17.95,1702,183
2022,MISSISSIPPI,66.7,34.68,1833,183
2023,MISSISSIPPI,68.2,30.97,1812,183
2024,MISSISSIPPI,69.0,15.52,1715,183
2010,MISSOURI,67.1,30.77,2031,183
2011,MISSOURI,65.1,20.31,1829,183
2012,MISSOURI,69.5,25.52,1765,183
2013,MISSOURI,67.9,30.56,2225,183
2014,MISSOURI,68.6,24.04,1926,183
2015,MISSOURI,70.7,15.87,2233,183
2016,MISSOURI,66.8,27.87,1731,183
2017,MISSOURI,65.4,24.58,2111,183
2018,MISSOURI,67.6,17.16,2154,183
2019,MISSOURI,65.4,16.62,1851,183
2020,MISSOURI,65.4,20.5,2299,183
2021,MISSOURI,68.3,21.5,2243,183
2022,MISSOURI,66.8,25.11,2140,183
2023,MISSOURI,65.6,29.04,2264,183
2024,MISSOURI,69.3,19.3,2162,183
2010,MONTANA,70.3,23.28,2164,183
2011,MONTANA,67.4,29.59,2020,183
2012,MONTANA,67.6,28.3,2083,183
2013,MONTANA,70.7,28.74,2185,183
2014,MONTANA,65.4,31.64,1795,183
2015,MONTANA,67.6,29.89,2081,183
2016,MONTANA,69.9,26.13,2300,183
2017,MONTANA,70.7,26.23,1825,183
2018,MONTANA,67.5,32.47,2133,183
2019,MONTANA,70.2,29.42,1994,183
2020,MONTANA,68.6,22.03,2291,183
2021,MONTANA,68.0,18.09,2193,183
2022,MONTANA,66.3,17.16,2269,183
2023,MONTANA,67.2,30.25,2287,183
2024,MONTANA,66.4,23.58,2274,183
2010,NEBRASKA,70.8,31.37,2270,183
2011,NEBRASKA,65.2,33.58,1973,183
2012,NEBRASKA,65.2,20.47,2016,183
2013,NEBRASKA,70.5,22.02,1885,183
2014,NEBRASKA,70.2,26.33,2110,183
2015,NEBRASKA,65.4,29.82,1731,183
2016,NEBRASKA,65.6,25.61,2085,183
2017,NEBRASKA,67.5,21.82,2078,183
2018,NEBRASKA,66.9,21.49,2281,183
2019,NEBRASKA,68.6,32.67,1859,183
2020,NEBRASKA,65.9,27.36,1783,183
2021,NEBRASKA,66.6,28.24,2197,183
2022,NEBRASKA,68.6,23.28,1920,183
2023,NEBRASKA,69.5,17.28,2140,183
2024,NEBRASKA,65.7,28.56,2198,183
2010,NEVADA,68.2,21.17,1925,183
2011,NEVADA,67.4,26.99,1707,183
2012,NEVADA,66.2,33.91,1840,183
2013,NEVADA,69.6,20.79,1822,183
2014,NEVADA,65.0,29.94,1879,183
2015,NEVADA,65.8,25.65,1935,183
2016,NEVADA,68.0,31.67,2062,183
2017,NEVADA,65.4,32.24,1743,183
2018,NEVADA,67.6,24.2,1779,183
2019,NEVADA,70.2,26.52,2287,183
2020,NEVADA,67.4,27.8,1996,183
2021,NEVADA,65.7,15.42,2032,183
2022,NEVADA,66.0,33.95,2171,183
2023,NEVADA,70.0,33.4,1790,183
2024,NEVADA,67.6,17.12,2146,183
2010,NEW HAMPSHIRE,68.5,25.48,2105,183
2011,NEW HAMPSHIRE,70.2,29.92,1926,183
2012,NEW HAMPSHIRE,67.0,18.36,2222,183
2013,NEW HAMPSHIRE,68.8,25.61,1898,183
2014,NEW HAMPSHIRE,70.4,21.99,1851,183
2015,NEW HAMPSHIRE,66.4,17.93,1902,183
2016,NEW HAMPSHIRE,66.0,18.06,1777,183
2017,NEW HAMPSHIRE,66.1,30.46,2205,183
2018,NEW HAMPSHIRE,67.8,26.27,2293,183
2019,NEW HAMPSHIRE,67.7,33.48,2278,183
2020,NEW HAMPSHIRE,68.9,34.73,2030,183
2021,NEW HAMPSHIRE,70.2,27.54,1854,183
2022,NEW HAMPSHIRE,67.6,24.38,2010,183
2023,NEW HAMPSHIRE,69.8,26.83,2060,183
2024,NEW HAMPSHIRE,68.0,21.21,2162,183
2010,NEW JERSEY,65.2,22.37,1993,183
2011,NEW JERSEY,65.5,32.29,1792,183
2012,NEW JERSEY,68.7,25.14,2173,183
2013,NEW JERSEY,68.5,34.08,1742,183
2014,NEW JERSEY,67.7,31.2,1892,183
2015,NEW JERSEY,66.9,24.51,1854,183
2016,NEW JERSEY,70.7,24.01,2051,183
2017,NEW JERSEY,70.9,16.69,1876,183
2018,NEW JERSEY,65.2,29.15,2149,183
2019,NEW JERSEY,68.1,27.2,2072,183
2020,NEW JERSEY,67.2,20.66,2118,183
2021,NEW JERSEY,69.6,28.58,1753,183
2022,NEW JERSEY,69.7,27.95,1767,183
2023,NEW JERSEY,67.0,26.16,2095,183
2024,NEW JERSEY,66.7,29.47,1853,183
2010,NEW MEXICO,67.0,26.65,1844,183
2011,NEW MEXICO,70.5,21.2,2101,183
2012,NEW MEXICO,65.8,29.18,1786,183
2013,NEW MEXICO,66.9,22.53,2036,183
2014,NEW MEXICO,69.9,28.4,2239,183
2015,NEW MEXICO,65.6,28.41,2220,183
2016,NEW MEXICO,67.2,22.25,1884,183
2017,NEW MEXICO,70.7,21.83,2197,183
2018,NEW MEXICO,66.2,35.0,1858,183
2019,NEW MEXICO,65.5,31.89,1803,183
2020,NEW MEXICO,68.0,25.8,2239,183
2021,NEW MEXICO,65.2,21.74,1834,183
2022,NEW MEXICO,68.6,18.09,1885,183
2023,NEW MEXICO,70.0,30.42,1869,183
2024,NEW MEXICO,69.3,15.87,2073,183
2010,NEW YORK,69.1,19.75,2154,183
2011,NEW YORK,68.7,30.05,2159,183
2012,NEW YORK,66.4,19.78,2180,183
2013,NEW YORK,70.4,18.88,2284,183
2014,NEW YORK,70.9,24.23,1988,183
2015,NEW YORK,69.7,25.06,2128,183
2016,NEW YORK,70.8,31.34,1841,183
2017,NEW YORK,70.2,16.04,2192,183
2018,NEW YORK,70.2,26.09,1805,183
2019,NEW YORK,69.3,25.32,1827,183
2020,NEW YORK,66.7,30.26,1979,183
2021,NEW YORK,67.7,25.27,2147,183
2022,NEW YORK,65.6,33.21,2161,183
2023,NEW YORK,70.3,33.61,2124,183
2024,NEW YORK,65.3,25.04,1941,183
2010,NORTH CAROLINA,67.3,16.63,1929,183
2011,NORTH CAROLINA,65.2,33.62,2043,183
2012,NORTH CAROLINA,69.7,17.75,1993,183
2013,NORTH CAROLINA,70.5,24.45,1842,183
2014,NORTH CAROLINA,69.6,24.38,1705,183
2015,NORTH CAROLINA,70.4,15.38,1920,183
2016,NORTH CAROLINA,70.0,25.98,2240,183
2017,NORTH CAROLINA,67.5,30.52,1943,183
2018,NORTH CAROLINA,66.8,15.95,2129,183
2019,NORTH CAROLINA,68.8,27.46,1764,183
2020,NORTH CAROLINA,65.7,33.1,2248,183
2021,NORTH CAROLINA,65.1,25.31,1947,183
2022,NORTH CAROLINA,69.3,20.83,1701,183
2023,NORTH CAROLINA,68.7,19.81,2126,183
2024,NORTH CAROLINA,66.1,28.36,2236,183
2010,NORTH DAKOTA,70.8,16.35,2238,183
2011,NORTH DAKOTA,68.3,30.73,2219,183
2012,NORTH DAKOTA,68.3,22.81,2181,183
2013,NORTH DAKOTA,65.3,22.74,2082,183
2014,NORTH DAKOTA,66.5,15.32,1769,183
2015,NORTH DAKOTA,67.1,29.66,1806,183
2016,NORTH DAKOTA,69.6,29.7,2040,183
2017,NORTH DAKOTA,65.8,22.05,2046,183
2018,NORTH DAKOTA,69.9,18.5,2175,183
2019,NORTH DAKOTA,70.9,24.57,1886,183
2020,NORTH DAKOTA,69.9,16.26,2168,183
2021,NORTH DAKOTA,65.2,19.03,1904,183
2022,NORTH DAKOTA,70.3,21.31,2017,183
2023,NORTH DAKOTA,68.1,34.78,2256,183
2024,NORTH DAKOTA,67.8,15.73,1895,183
2010,OHIO,66.7,32.24,1748,183
2011,OHIO,70.2,21.64,1827,183
2012,OHIO,69.8,23.74,2109,183
2013,OHIO,69.5,32.89,2095,183
2014,OHIO,67.0,18.74,2209,183
2015,OHIO,67.2,30.95,1973,183
2016,OHIO,69.8,29.54,1780,183
2017,OHIO,67.6,34.9,1884,183
2018,OHIO,68.3,21.42,1781,183
2019,OHIO,67.0,20.91,2156,183
2020,OHIO,68.6,23.52,2154,183
2021,OHIO,67.1,15.85,2061,183
2022,OHIO,68.7,23.7,1758,183
2023,OHIO,65.5,27.75,2072,183
2024,OHIO,68.1,30.0,1863,183
2010,OKLAHOMA,70.7,17.86,2148,183
2011,OKLAHOMA,65.2,16.34,2075,183
2012,OKLAHOMA,67.2,33.99,1733,183
2013,OKLAHOMA,68.6,28.58,2079,183
2014,OKLAHOMA,67.2,30.26,2287,183
2015,OKLAHOMA,65.8,22.34,2021,183
2016,OKLAHOMA,68.9,19.99,1816,183
2017,OKLAHOMA,65.2,18.72,2230,183
2018,OKLAHOMA,67.3,26.23,1968,183
2019,OKLAHOMA,69.6,29.08,1919,183
2020,OKLAHOMA,71.0,20.71,2202,183
2021,OKLAHOMA,66.2,17.71,1775,183
2022,OKLAHOMA,67.7,32.97,2155,183
2023,OKLAHOMA,71.0,31.21,2027,183
2024,OKLAHOMA,69.0,29.19,2263,183
2010,OREGON,68.3,32.83,1861,183
2011,OREGON,69.3,33.55,1878,183
2012,OREGON,69.8,25.18,1824,183
2013,OREGON,70.9,30.84,1942,183
2014,OREGON,69.7,15.53,2267,183
2015,OREGON,68.4,24.35,2264,183
2016,OREGON,65.8,32.68,1767,183
2017,OREGON,66.9,34.99,2190,183
2018,OREGON,68.2,30.38,2288,183
2019,OREGON,65.4,34.45,1775,183
2020,OREGON,67.7,28.6,2052,183
2021,OREGON,65.8,31.58,2264,183
2022,OREGON,68.8,18.64,1832,183
2023,OREGON,67.6,33.21,1756,183
2024,OREGON,70.0,25.36,2011,183
2010,PENNSYLVANIA,66.0,21.45,1930,183
2011,PENNSYLVANIA,67.1,33.82,1990,183
2012,PENNSYLVANIA,70.1,20.01,2264,183
2013,PENNSYLVANIA,66.6,27.5,2246,183
2014,PENNSYLVANIA,65.6,27.82,2294,183
2015,PENNSYLVANIA,65.9,28.17,2045,183
2016,PENNSYLVANIA,70.1,26.27,1729,183
2017,PENNSYLVANIA,65.5,33.97,2290,183
2018,PENNSYLVANIA,66.6,19.22,2285,183
2019,PENNSYLVANIA,67.5,27.78,2209,183
2020,PENNSYLVANIA,70.3,25.91,2009,183
2021,PENNSYLVANIA,67.9,31.09,2115,183
2022,PENNSYLVANIA,66.8,16.46,1761,183
2023,PENNSYLVANIA,65.9,23.31,2175,183
2024,PENNSYLVANIA,66.2,27.13,2020,183
2010,RHODE ISLAND,70.2,21.39,2053,183
2011,RHODE ISLAND,70.9,17.62,2079,183
2012,RHODE ISLAND,68.1,17.12,1947,183
2013,RHODE ISLAND,67.8,20.35,1953,183
2014,RHODE ISLAND,65.8,16.01,2093,183
2015,RHODE ISLAND,70.2,23.36,1863,183
2016,RHODE ISLAND,69.9,33.68,2020,183
2017,RHODE ISLAND,66.1,18.19,2227,183
2018,RHODE ISLAND,67.8,32.58,2209,183
2019,RHODE ISLAND,65.1,33.9,2217,183
2020,RHODE ISLAND,67.7,19.81,2297,183
2021,RHODE ISLAND,67.1,16.01,2206,183
2022,RHODE ISLAND,68.6,31.86,2181,183
2023,RHODE ISLAND,66.7,15.16,1810,183
2024,RHODE ISLAND,67.6,32.65,2074,183
2010,SOUTH CAROLINA,69.6,22.32,2110,183
